,Name,Startup,Description,Investment,Inv_previa,Num_Inversio,Founded,es_sociedad_limitada,Ind Business Services & Software,Ind Healthtech,Ind Financing,Ind E-commerce & Marketplaces,Ind ICT & Mobile,Ind Green & Energytech,Ind Food,Ind Hardware,Ind Sustainable mobility,Ind Traveltech & Leisure,Ind Contech & Proptech,Ind Logistic Tech,Ind Community & Social network,Ind Edtech,Ind Gov tech,Ind Gaming,Ind Fashion & Design,Ind Agriculture,Ind Digital Content & Media,Ind Beauty & Personal care,Ind Adtech,Ind Sports,Ind Legaltech,Ind Musictech,Tech AI & Big Data,Tech Automation,Tech Cloud & Edge Computing,Tech IoT & Sensors,Tech E-commerce,Tech Digital Health,Tech Biotechnology,Tech Fintech & Insurtech,Tech Connectivity,Tech Digital Assets,Tech Foodtech,Tech Personalized medicine,Tech DLT/Blockchain,Tech Medical devices,Tech Smart City,Tech Cybersecurity,Tech Immersive technologies & digital entertainment,Tech Additive manufacturing,Tech Omic Sciences,Tech Recycling & Recovery,Tech Sustainable materials,Tech Frontier materials,Tech Agritech,Tech Electric Vehicle & Micromobility,Tech Clean Energy,Tech New Space,Tech Simulation & Digital Twins,Tech Decarbonization,Tech Vaccines & New biological design,Tech Green chemistry,Tech Robotics & Collaborative Robotics,Tech Supercomputing,Tech Connected & Autonomous Vehicle,Tech Semiconductors,Tech -,Tech Photonics & Quantum Sciences,Tech Batteries & Storage,Tech Blue Economy,Tech Micro & Nano electronics,Tech Bioeconomy,Tech Smart Building,Tech POCT (Point of Care Testing),Tech Smart grid & Distributed networks,Tech Catalysis & biocatalysis,Tech NBS (Nature Based Solutions),Tech Water cycle technologies,Tech Energy Harvesting,Tech Drones,Tech Hydrogen,Tech Chemical recycling,OF Scaleup,OF Deeptech,OF Industry 4.0,OF -,OF Circular Economy,OF Smart Cities,OF Social Economy,OF Sharing Economy,Emp From 1 to 5,Emp From 11 to 20,Emp From 21 to 50,Emp From 6 to 10,Emp More than 50,Emp Undisclosed,BM Saas,BM Development & Manufacturing,BM Subscription,BM Marketplace,BM R+D+I Services,BM Software licence,BM Ecommerce & Trade,BM Others,BM Consultancy & Agency,BM Other types of licence,BM -,BM Advertising,Targ Business,Targ Consumer,Targ -,Spin None  Not a spinoff,Spin CERCA Centre,Spin University,Spin ICREA Centre,Spin Technological Centre,Spin Company Other Centre,Spin University - Hospital,Spin CSIC Centre,Spin I3PT,Spin TECNIO Centre
184,BANK2EMAIL S.L.,BANKTRACK,"Manage the treasury of your business (freelancers and Small and Medium Enterprises) the easy way. View all your expenses and revenues in real time, categorized and from a single platform.",1.0,0.0,1,4.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
185,"DOMMA SELFCARE, SL",DOMMA,"DOMMA is a femtech born with a clear purpose: to positivize female maturity and break its taboos, starting with menopause. We are a digital health platform that accompanies and improves women’s holistic health in their midlife through health plans to manage symptoms and personalized digital support.",2.0,1.4,3,4.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
186,"DOMMA SELFCARE, SL",DOMMA,"DOMMA is a femtech born with a clear purpose: to positivize female maturity and break its taboos, starting with menopause. We are a digital health platform that accompanies and improves women’s holistic health in their midlife through health plans to manage symptoms and personalized digital support.",0.9,0.5,2,4.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
187,"DOMMA SELFCARE, SL",DOMMA,"DOMMA is a femtech born with a clear purpose: to positivize female maturity and break its taboos, starting with menopause. We are a digital health platform that accompanies and improves women’s holistic health in their midlife through health plans to manage symptoms and personalized digital support.",0.5,0.0,1,4.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
188,REMUNER SL,REMUNER,Remuner is the variable compensation platform that helps you perfectly align your company and employee goals and incentives by automating all aspects of sales commission plans. ,2.0,0.0,1,3.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
189,SUPERLATIVA BOTANICALS SL,SUPERLATIVA,Superlativa is a digital native brand creating herbal supplements clinically validated for stress and anxiety.,1.5,0.0,1,6.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
190,SAIGU COSMETICS SL,SAIGU COSMETICS,"We combine the best of nature and science to offer you a natural cosmetic, easy to apply and comfortable to wear, that fills your skin and your mood with vitality.",1.5,0.4,2,6.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
191,SAIGU COSMETICS SL,SAIGU COSMETICS,"We combine the best of nature and science to offer you a natural cosmetic, easy to apply and comfortable to wear, that fills your skin and your mood with vitality.",0.4,0.0,1,6.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
192,"DOST AI SOLUTIONS, SL",DOST,"Dost helps its customers to optimise processes, reduce errors and provide better visibility and control on supplier spend trends. We learn from the users and improve their experience with AI",1.5,0.4,2,4.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
193,"DOST AI SOLUTIONS, SL",DOST,"Dost helps its customers to optimise processes, reduce errors and provide better visibility and control on supplier spend trends. We learn from the users and improve their experience with AI",0.4,0.0,1,4.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
